Position,EIN,Organization Name_CLEAN,Space Name,Street,Street 2,City,State,Zip,Contact Name,Contact Title,Contact Email,Parent Organization Website,County,Address,isMultiple,old_lat,old_lon,Check,LAT,LON
1,831205647,Heron Arts,Space 1,7 Heron St,,San Francisco,CA,94103,,,,https://www.slashart.org/,San Francisco,"7 Heron St, San Francisco, CA, 94103",Single Space,37.7745867,-122.4082901,not,37.7745867,-122.4082901
2,946106011,1 Brush Initiative,Space 1,100 Bush St,1812,San Francisco,CA,94104,,,,,San Francisco,"100 Bush St, San Francisco, CA, 94104",Single Space,37.791569,-122.3999636,not,37.791569,-122.3999636
3,471579288,1888 Foundation,Space 1,1355 Franklin St,,San Francisco,CA,94109,,,,,San Francisco,"1355 Franklin St, San Francisco, CA, 94109",Single Space,37.7870337,-122.4235323,not,37.7870337,-122.4235323
4,,1920c,Space 1,950 Grant Ave,Floor 2,San Francisco,CA,94108,Jenny Chan,,info@1920c.com,http://www.1920c.com,San Francisco,"950 Grant Ave, San Francisco, CA, 94108",Single Space,37.795726,-122.4063682,not,37.795726,-122.4063682
5,452669508,1947 Partition Archive,Space 1,1840 Alcatraz Ave,Suite 1,Berkeley,CA,94703,,,,,Alameda,"1840 Alcatraz Ave, Berkeley, CA, 94703",Single Space,37.8485562,-122.2701831,not,37.8485562,-122.2701831
6,943219196,21St Century Consumer,Space 1,165 Mountain Canyon Pl,,Alamo,CA,94507,,,,,Contra Costa,"165 Mountain Canyon Pl, Alamo, CA, 94507",Single Space,37.8469148,-121.9805854,not,37.8469148,-121.9805854
7,,2By4 Productions,Space 1,3560 24th St,Unit 3,San Francisco,CA,94110,,,,,San Francisco,"3560 24th St, San Francisco, CA, 94110",Single Space,37.7521021,-122.4226148,not,37.7521021,-122.4226148
8,811932130,3 Degrees A Nonprofit Corporation,Space 1,949 Tulare Ave,,Berkeley,CA,94707,,,,,Alameda,"949 Tulare Ave, Berkeley, CA, 94707",Single Space,37.8891655,-122.2815516,not,37.8891655,-122.2815516
9,134258004,3rd I South Asian Independent Film,Space 1,2301 Telegraph Ave,,Oakland,CA,94612,,,,www.thirdi.org,Alameda,"2301 Telegraph Ave, Oakland, CA, 94612",Single Space,37.8128554,-122.2691166,not,37.8128554,-122.2691166
10,,3rd St Youth Center & Clinic,Space 1,1728 Bancroft Ave,,San Francisco,CA,94124,,,,,San Francisco,"1728 Bancroft Ave, San Francisco, CA, 94124",Single Space,37.7266365,-122.3942279,not,37.7266365,-122.3942279
11,943242447,3V-Multimedia,Space 1,1111 Pine St,,San Francisco,CA,94109,,,,,San Francisco,"1111 Pine St, San Francisco, CA, 94109",Single Space,37.7901099,-122.4144487,not,37.7901099,-122.4144487
12,680106559,4160 Diablo View Toastmasters Club,Space 1,623 Exeter Pl,,Danville,CA,94506,,,,,Contra Costa,"623 Exeter Pl, Danville, CA, 94506",Single Space,37.8021673,-121.9094274,not,37.8021673,-121.9094274
13,943202941,42nd St Moon,Space 1,215 Jackson St,,San Francisco,CA,94111,Jasmine Malone,Box Office Assistant,jmalone@42ndstmoon.org,http://www.42ndstmoon.org,San Francisco,"215 Jackson St, San Francisco, CA, 94111",Single Space,37.79684702,-122.3997715,not,37.79684702,-122.3997715
