Position,EIN,Organization Name_CLEAN,Space Name,Street,Street 2,City,State,Zip,Contact Name,Contact Title,Contact Email,Parent Organization Website,County,Address,isMultiple,old_lat,old_lon,Check,LAT,LON
80,753078738,All Wars Memorial Foundation,Space 1,2340 Santa Rita Rd,,Pleasanton,CA,94566,,,,,Alameda,"2340 Santa Rita Rd, Pleasanton, CA, 94566",Single Space,37.682948,-121.8756063,not,37.682948,-121.8756063
324,,BollyNaach Dance Company,Space 1,1989 Santa Rita Rd,Suite A,Pleasanton,CA,94566,Nate Ramanathan,Studio Owner,bollynaach@gmail.com,http://www.bollynaach.com,Alameda,"1989 Santa Rita Rd, Pleasanton, CA, 94566",Single Space,37.6787878,-121.8761801,not,37.6787878,-121.8761801
381,10791603,California State Fair Memorial Plaza Foundation,Space 1,225 Spring St,,Pleasanton,CA,94566,,,,,Alameda,"225 Spring St, Pleasanton, CA, 94566",Single Space,37.662841,-121.8736363,not,37.662841,-121.8736363
464,274568585,Cheza Nami Foundation,Space 1,2744 Vista Diablo Ct,,Pleasanton,CA,94566,,,,,Alameda,"2744 Vista Diablo Ct, Pleasanton, CA, 94566",Single Space,37.6651668,-121.844491,not,37.6651668,-121.844491
649,237587372,Demolay International: Pleasanton,Space 1,1181Quarry Lane,,Pleasanton,CA,94566,,,,,Alameda,"1181Quarry Lane, Pleasanton, CA, 94566",Single Space,37.6711093,-121.8648314,not,37.6711093,-121.8648314
687,471170566,Dishari Foundation,Space 1,3517 Villero Ct,,Pleasanton,CA,94566,,,,,Alameda,"3517 Villero Ct, Pleasanton, CA, 94566",Single Space,37.6403516,-121.8081939,not,37.6403516,-121.8081939
722,472966325,East Bay Marathi Mandal,Space 1,3925 Appian St,,Pleasanton,CA,94588,,,,,Alameda,"3925 Appian St, Pleasanton, CA, 94588",Single Space,37.6947039,-121.8907842,not,37.6947039,-121.8907842
819,,Firehouse Arts Center,"5 Spaces, 1 Building",4444 Railroad Ave,,Pleasanton,CA,94566,,,jkoch@cityofpleasantonca.gov,http://www.firehousearts.org/about-us/rental-information,Alameda,"5 Spaces, 1 Building <br> 4444 Railroad Ave, Pleasanton, CA, 94566",Multiple Spaces,37.6610821,-121.8735534,not,37.6610821,-121.8735534
846,320194165,Foundation For Photographic Preservation,Space 1,5529 Corte Sonora,,Pleasanton,CA,94566,,,,,Alameda,"5529 Corte Sonora, Pleasanton, CA, 94566",Single Space,37.6701059,-121.8900994,not,37.6701059,-121.8900994
853,,Frame Dance & Pilates Studio,Space 1,1989 Santa Rita Rd,Suite A,Pleasanton,CA,94566,Misha Mamedov,,misha@framedancepilatesstudio.com,http://www.framedancepilatesstudio.com,Alameda,"1989 Santa Rita Rd, Pleasanton, CA, 94566",Single Space,37.6787878,-121.8761801,not,37.6787878,-121.8761801
1056,461209337,Indonesian Diaspora Network United States Of America,Space 1,6921 Johnston Rd,,Pleasanton,CA,94588,,,,,Alameda,"6921 Johnston Rd, Pleasanton, CA, 94588",Single Space,37.7994961,-121.8318627,not,37.7994961,-121.8318627
1164,271755385,Kiats,Space 1,5115 Muirwood Dr,,Pleasanton,CA,94588,,,,,Alameda,"5115 Muirwood Dr, Pleasanton, CA, 94588",Single Space,37.684723,-121.9233666,not,37.684723,-121.9233666
1182,843681909,Kuo Ming Tang Association,Space 1,5449 Dudley Ct,,Pleasanton,CA,94566,,,,,Alameda,"5449 Dudley Ct, Pleasanton, CA, 94566",Single Space,37.671573,-121.8884906,not,37.671573,-121.8884906
1203,863495654,Lapis Lazuli Youth Art,Space 1,5424 Sunol Blvd,Ste 10 # 1147,Pleasanton,CA,94566,,,,,Alameda,"5424 Sunol Blvd, Pleasanton, CA, 94566",Single Space,37.6513819,-121.8787689,not,37.6513819,-121.8787689
1367,853178349,Movements For The Mind,Space 1,2824 Cedrus Ct,,Pleasanton,CA,94588,,,,,Alameda,"2824 Cedrus Ct, Pleasanton, CA, 94588",Single Space,37.6929184,-121.8581248,not,37.6929184,-121.8581248
1375,900986564,Msmt,Space 1,971 Madeira Dr,,Pleasanton,CA,94566,,,,,Alameda,"971 Madeira Dr, Pleasanton, CA, 94566",Single Space,37.6594797,-121.8491354,not,37.6594797,-121.8491354
1472,863423881,Northern California Bengali Association,Space 1,1327 Montrose Pl,,Pleasanton,CA,94566,,,,,Alameda,"1327 Montrose Pl, Pleasanton, CA, 94566",Single Space,37.6550618,-121.8271843,not,37.6550618,-121.8271843
1686,471084262,Rae Dorough Speaker Series,Space 1,664 Varese Ct,,Pleasanton,CA,94566,,,,,Alameda,"664 Varese Ct, Pleasanton, CA, 94566",Single Space,37.6486623,-121.8123342,not,37.6486623,-121.8123342
2010,260294027,Sweet Adelines International,Space 1,3479 Streamside Cir,Apt 203,Pleasanton,CA,94588,,,,,Alameda,"3479 Streamside Cir, Pleasanton, CA, 94588",Single Space,37.6980935,-121.8567251,not,37.6980935,-121.8567251
2076,453781620,The Golden State Think Tank Foundation,Space 1,7926 Applewood Ct,,Pleasanton,CA,94588,,,,,Alameda,"7926 Applewood Ct, Pleasanton, CA, 94588",Single Space,37.676217,-121.9203777,not,37.676217,-121.9203777
2186,453767275,Tri-Valley Community Television Foundation,Space 1,4663 Bernal Ave,B,Pleasanton,CA,94566,,,,,Alameda,"4663 Bernal Ave, Pleasanton, CA, 94566",Single Space,37.6565061,-121.876189,not,37.6565061,-121.876189
2226,471032035,Us Chinese Dance Association,Space 1,4847 Hopyard Rd,Ste 4 # 318,Pleasanton,CA,94588,,,,,Alameda,"4847 Hopyard Rd, Pleasanton, CA, 94588",Single Space,37.6930451,-121.9017585,not,37.6930451,-121.9017585
2266,871737296,Voice Of Us,Space 1,1284 Harvest Rd,,Pleasanton,CA,94566,,,,,Alameda,"1284 Harvest Rd, Pleasanton, CA, 94566",Single Space,37.6690505,-121.8813625,not,37.6690505,-121.8813625
